S_INFO_WINDCODE,TRADE_DT,S_DQ_OPEN,S_DQ_HIGH,S_DQ_LOW,S_DQ_CLOSE
000300.SH,20131017,2432.645,2440.919,2407.777,2413.33
000852.SH,20131017,4534.215,4578.327,4504.015,4517.771
000905.SH,20131017,3980.466,4010.622,3944.974,3956.965
000300.SH,20131018,2415.118,2435.712,2410.599,2426.054
000852.SH,20131018,4513.651,4557.931,4509.03,4549.987
000905.SH,20131018,3954.585,3978.342,3937.24,3970.641
000300.SH,20131021,2431.915,2472.785,2423.562,2471.322
000852.SH,20131021,4561.338,4673.762,4561.338,4673.762
000905.SH,20131021,3977.261,4069.224,3968.393,4069.033
000300.SH,20131022,2470.255,2470.255,2439.859,2445.891
000852.SH,20131022,4673.025,4695.681,4609.942,4621.387
000905.SH,20131022,4070.665,4089.096,4014.265,4026.516
000300.SH,20131023,2451.556,2474.372,2412.483,2418.491
000852.SH,20131023,4608.21,4609.136,4474.651,4504.004
000905.SH,20131023,4026.563,4039.425,3906.509,3924.219
000300.SH,20131024,2412.235,2422.943,2395.474,2400.511
000852.SH,20131024,4488.923,4515.103,4460.63,4469.644
000905.SH,20131024,3914.239,3933.73,3889.338,3898.156
000300.SH,20131025,2400.517,2413.332,2353.993,2368.559
000852.SH,20131025,4470.248,4485.494,4358.689,4388.614
000905.SH,20131025,3902.226,3916.924,3796.069,3821.779
000300.SH,20131028,2372.571,2377.249,2351.862,2365.954
000852.SH,20131028,4380.426,4394.898,4357.002,4384.385
000905.SH,20131028,3820.674,3828.723,3785.912,3808.703
000300.SH,20131029,2369.216,2408.616,2327.904,2372.053
000852.SH,20131029,4375.596,4405.144,4142.715,4269.656
000905.SH,20131029,3801.934,3827.119,3600.434,3703.86
000300.SH,20131030,2371.853,2407.851,2365.506,2407.471
000852.SH,20131030,4254.268,4335.587,4250.32,4335.587
000905.SH,20131030,3694.312,3764.599,3688.386,3764.453
000300.SH,20131031,2398.395,2398.395,2370.226,2373.718
000852.SH,20131031,4323.682,4323.682,4266.896,4270.97
000905.SH,20131031,3757.806,3757.806,3710.69,3713.829
000300.SH,20131101,2373.962,2395.005,2365.146,2384.96
000852.SH,20131101,4246.985,4265.811,4189.419,4240.214
000905.SH,20131101,3698.469,3720.436,3661.736,3702.445
000300.SH,20131104,2397.21,2404.896,2376.355,2380.454
000852.SH,20131104,4234.136,4285.831,4234.136,4267.367
000905.SH,20131104,3705.449,3744.588,3705.432,3728.188
000300.SH,20131105,2366.884,2385.688,2343.801,2383.769
000852.SH,20131105,4257.64,4340.386,4225.401,4340.386
000905.SH,20131105,3719.944,3777.626,3688.213,3777.404
000300.SH,20131106,2371.324,2383.54,2352.787,2353.568
000852.SH,20131106,4329.769,4381.455,4303.902,4303.902
